ts,u,i,label,idx
282957,5,1,u4_i0,585
283542,1,5,u0_i4,586
283862,5,1,u4_i0,587
284320,1,4,u0_i3,588
284642,4,1,u3_i0,589
285041,1,2,u0_i1,590
285368,2,1,u1_i0,591
285780,1,5,u0_i4,592
286105,5,1,u4_i0,593
286604,1,2,u0_i1,594
286928,2,1,u1_i0,595
287427,1,2,u0_i1,596
287747,2,1,u1_i0,597
288138,1,6,u0_i5,598
288464,6,1,u5_i0,599
288983,1,6,u0_i5,600
289303,6,1,u5_i0,601
289854,1,4,u0_i3,602
290181,4,1,u3_i0,603
290762,1,6,u0_i5,604
291085,6,1,u5_i0,605
291710,1,2,u0_i1,606
292033,2,1,u1_i0,607
292627,1,5,u0_i4,608
292954,5,1,u4_i0,609
293579,1,4,u0_i3,610
293905,4,1,u3_i0,611
294401,1,6,u0_i5,612
294724,6,1,u5_i0,613
295157,1,4,u0_i3,614
295485,4,1,u3_i0,615
296086,1,4,u0_i3,616
296405,4,1,u3_i0,617
296994,1,5,u0_i4,618
297318,5,1,u4_i0,619
297842,1,3,u0_i2,620
298168,3,1,u2_i0,621
298713,1,2,u0_i1,622
299038,2,1,u1_i0,623
299572,1,5,u0_i4,624
299896,5,1,u4_i0,625
300454,1,6,u0_i5,626
300777,6,1,u5_i0,627
301401,1,5,u0_i4,628
301725,5,1,u4_i0,629
302249,1,6,u0_i5,630
302572,6,1,u5_i0,631
303095,1,2,u0_i1,632
303418,2,1,u1_i0,633
303823,1,6,u0_i5,634
304147,6,1,u5_i0,635
304646,1,6,u0_i5,636
304966,6,1,u5_i0,637
305396,1,4,u0_i3,638
305719,4,1,u3_i0,639
335726,1,1,u0_i0,640
336261,1,2,u0_i1,641
336585,1,1,u0_i0,642
337116,1,3,u0_i2,643
337439,1,1,u0_i0,644
337829,1,4,u0_i3,645
338153,1,1,u0_i0,646
338579,1,2,u0_i1,647
338902,1,1,u0_i0,648
339331,1,2,u0_i1,649
339651,1,1,u0_i0,650
340077,1,2,u0_i1,651
340396,1,1,u0_i0,652
340930,1,3,u0_i2,653
341254,1,1,u0_i0,654
341766,1,5,u0_i4,655
342088,1,1,u0_i0,656
342591,1,4,u0_i3,657
342915,1,1,u0_i0,658
343405,1,2,u0_i1,659
343730,1,1,u0_i0,660
344230,1,6,u0_i5,661
344553,1,1,u0_i0,662
345150,1,3,u0_i2,663
345473,1,1,u0_i0,664
345904,1,4,u0_i3,665
346226,1,1,u0_i0,666
346764,1,4,u0_i3,667
347084,1,1,u0_i0,668
347514,1,6,u0_i5,669
347837,1,1,u0_i0,670
348235,1,2,u0_i1,671
348559,1,1,u0_i0,672
348973,1,2,u0_i1,673
349292,1,1,u0_i0,674
349823,1,4,u0_i3,675
350146,1,1,u0_i0,676
350537,1,6,u0_i5,677
350864,1,1,u0_i0,678
351424,1,5,u0_i4,679
351749,1,1,u0_i0,680
