Value,Consecutive Count,onset
4,1290,1598409
0,1637,1599699
4,1281,1601336
0,1623,1602617
1,1295,1604240
0,2150,1605535
2,1297,1607685
0,2167,1608982
4,1296,1611149
0,2092,1612445
4,1278,1614537
0,1746,1615815
4,1280,1617561
0,2482,1618841
5,1294,1621323
0,1598,1622617
2,1303,1624215
0,1871,1625518
4,1297,1627389
0,2107,1628686
4,1279,1630793
0,1872,1632072
2,1295,1633944
0,1597,1635239
4,1303,1636836
0,1716,1638139
2,1296,1639855
0,2058,1641151
2,1280,1643209
0,2153,1644489
3,1294,1646642
0,1657,1647936
4,1308,1649593
0,1609,1650901
2,1293,1652510
0,1746,1653803
3,1295,1655549
0,1611,1656844
3,1291,1658455
0,1612,1659746
1,1307,1661358
0,2291,1662665
2,1296,1664956
0,2107,1666252
5,1293,1668359
0,1941,1669652
4,1305,1671593
0,2270,1672898
3,1302,1675168
0,2169,1676470
1,1296,1678639
0,2448,1679935
1,1280,1682383
0,1777,1683663
4,1296,1685440
0,1996,1686736
4,1281,1688732
0,1906,1690013
2,1307,1691919
0,1547,1693226
4,1292,1694773
0,1939,1696065
3,1290,1698004
0,2123,1699294
1,1295,1701417
0,1823,1702712
4,1296,1704535
0,2202,1705831
1,1293,1708033
0,1640,1709326
1,1278,1710966
0,1519,1712244
3,1304,1713763
0,2168,1715067
4,1295,1717235
0,2045,1718530
1,1295,1720575
0,2138,1721870
1,1277,1724008
0,1638,1725285
1,1279,1726923
0,1654,1728202
1,1280,1729856
0,1707,1731136
2,1304,1732843
0,1824,1734147
2,1281,1735971
0,1762,1737252
5,1295,1739014
0,2214,1740309
3,1296,1742523
0,1685,1743819
2,1294,1745504
0,1592,1746798
5,1295,1748390
0,2216,1749685
3,1293,1751901
0,1826,1753194
1,1295,1755020
0,2142,1756315
5,1305,1758457
0,1685,1759762
2,1296,1761447
0,1904,1762743
1,1294,1764647
0,2199,1765941
3,1297,1768140
0,2495,1769437
3,1280,1771932
0,2122,1773212
1,1293,1775334
0,1891,1776627
1,1277,1778518
0,2266,1779795
5,1291,1782061
0,1857,1783352
4,1293,1785209
0,1814,1786502
3,1293,1788316
0,2340,1789609
3,1278,1791949
0,1839,1793227
2,1296,1795066
0,1966,1796362
3,1295,1798328
0,1872,1799623
3,1280,1801495
0,2255,1802775
3,1285,1805030
0,1935,1806315
1,1296,1808250
0,1531,1809546
2,1292,1811077
0,1824,1812369
4,1295,1814193
0,2471,1815488
5,1291,1817959
0,1970,1819250
2,1305,1821220
0,2277,1822525
4,1295,1824802
0,2254,1826097
4,1287,1828351
0,1610,1829638
4,1277,1831248
0,1965,1832525
2,1296,1834490
0,1609,1835786
5,1292,1837395
0,1686,1838687
1,1295,1840373
0,2169,1841668
5,1294,1843837
0,2029,1845131
4,1294,1847160
0,1654,1848454
5,1294,1850108
0,2047,1851402
4,1306,1853449
0,1546,1854755
5,1296,1856301
0,2260,1857597
1,1296,1859857
0,2029,1861153
2,1293,1863182
0,2059,1864475
2,1281,1866534
0,1919,1867815
1,1294,1869734
0,1768,1871028
1,1290,1872796
0,2436,1874086
4,1293,1876522
0,2445,1877815
1,1314,1880260
0,2434,1881574
4,1296,1884008
0,2091,1885304
3,1293,1887395
0,1766,1888688
4,1292,1890454
0,1732,1891746
1,1295,1893478
0,2276,1894773
4,1295,1897049
0,2240,1898344
4,1287,1900584
0,1937,1901871
2,1292,1903808
0,2327,1905100
2,1293,1907427
0,2325,1908720
4,1294,1911045
0,2365,1912339
3,1302,1914704
0,2148,1916006
5,1299,1918154
0,1953,1919453
1,1308,1921406
0,2375,1922714
4,1307,1925089
0,1859,1926396
5,1294,1928255
0,1728,1929549
4,1297,1931277
0,2117,1932574
2,1299,1934691
0,1656,1935990
1,1293,1937646
0,1927,1938939
1,1280,1940866
0,2233,1942146
2,1294,1944379
0,2356,1945673
4,1295,1948029
0,2082,1949324
1,1294,1951406
0,2463,1952700
2,1295,1955163
0,2435,1956458
2,1278,1958893
0,1886,1960171
1,1297,1962057
0,2154,1963354
1,1278,1965508
0,1559,1966786
4,1297,1968345
0,1856,1969642
4,1278,1971498
0,1893,1972776
4,1290,1974669
0,1529,1975959
5,1295,1977488
0,2307,1978783
4,1297,1981090
0,2323,1982387
2,1296,1984710
0,2121,1986006
3,1296,1988127
0,2043,1989423
2,1295,1991466
0,1762,1992761
3,1296,1994523
0,1741,1995819
5,1301,1997560
0,2500,1998861
1,1291,2001361
0,2046,2002652
1,1276,2004698
0,2311,2005974
5,1294,2008285
0,1577,2009579
5,1279,2011156
0,1527,2012435
4,1296,2013962
0,2295,2015258
3,1292,2017553
0,2388,2018845
5,1295,2021233
0,2137,2022528
1,1296,2024665
0,1729,2025961
1,1281,2027690
0,1545,2028971
1,1279,2030516
0,2127,2031795
5,1305,2033922
0,1857,2035227
3,1295,2037084
0,2495,2038379
5,1295,2040874
0,2187,2042169
5,1276,2044356
0,2278,2045632
2,1295,2047910
0,2175,2049205
2,1288,2051380
0,1809,2052668
4,1296,2054477
0,2029,2055773
3,1294,2057802
0,2114,2059096
4,1303,2061210
0,2090,2062513
3,1294,2064603
0,2095,2065897
3,1292,2067992
0,1595,2069284
4,1305,2070879
0,2512,2072184
2,1296,2074696
0,2480,2075992
2,1279,2078472
0,2390,2079751
3,1308,2082141
0,1918,2083449
2,1296,2085367
0,1637,2086663
2,1279,2088300
0,2234,2089579
4,1293,2091813
0,2201,2093106
1,1293,2095307
0,2356,2096600
5,1295,2098956
0,2282,2100251
1,1289,2102533
0,1892,2103822
4,1307,2105714
0,2231,2107021
2,1295,2109252
0,1778,2110547
4,1296,2112325
0,1987,2113621
4,1289,2115608
0,1747,2116897
1,1294,2118644
0,2340,2119938
4,1296,2122278
0,2451,2123574
1,1294,2126025
0,1692,2127319
1,1286,2129011
0,1997,2130297
1,1280,2132294
0,2409,2133574
1,1289,2135983
0,1564,2137272
3,1305,2138836
0,2287,2140141
2,1302,2142428
0,1688,2143730
2,1276,2145418
0,1720,2146694
3,1306,2148414
0,2420,2149720
4,1294,2152140
0,1609,2153434
2,1292,2155043
0,1565,2156335
3,1307,2157900
0,1938,2159207
5,1306,2161145
0,2323,2162451
3,1297,2164774
0,2406,2166071
1,1291,2168477
0,1904,2169768
5,1295,2171672
0,2421,2172967
4,1306,2175388
0,2131,2176694
2,1301,2178825
0,2449,2180126
1,1296,2182575
0,2231,2183871
4,1295,2186102
0,2343,2187397
2,1292,2189740
0,2261,2191032
5,1297,2193293
0,1833,2194590
3,1301,2196423
0,2479,2197724
3,1281,2200203
0,1840,2201484
4,1312,2203324
0,1873,2204636
4,1294,2206509
0,1918,2207803
3,1295,2209721
0,2199,2211016
5,1296,2213215
0,1839,2214511
5,1282,2216350
0,2245,2217632
5,1279,2219877
0,1546,2221156
2,1294,2222702
0,2170,2223996
2,1294,2226166
0,1732,2227460
4,1293,2229192
0,2137,2230485
3,1296,2232622
0,2167,2233918
1,1328,2236085
0,1858,2237413
3,1294,2239271
0,1746,2240565
4,1312,2242311
0,2370,2243623
2,1296,2245993
0,2246,2247289
1,1295,2249535
0,2349,2250830
1,1286,2253179
0,2099,2254465
2,1301,2256564
0,2309,2257865
3,1295,2260174
0,1996,2261469
5,1297,2263465
0,1861,2264762
3,1305,2266623
0,2466,2267928
1,1293,2270394
0,2484,2271687
1,1276,2274171
0,2168,2275447
3,1295,2277615
0,2188,2278910
2,1292,2281098
0,2121,2282390
5,1292,2284511
0,1534,2285803
1,1294,2287337
0,2482,2288631
4,1293,2291113
0,1734,2292406
3,1292,2294140
0,1637,2295432
2,1295,2297069
0,1771,2298364
2,1288,2300135
0,1654,2301423
2,1279,2303077
0,1622,2304356
5,1295,2305978
0,1607,2307273
5,1279,2308880
0,1909,2310159
1,1306,2312068
0,1854,2313374
4,1295,2315228
0,2310,2316523
3,1296,2318833
0,2199,2320129
5,1295,2322328
0,1560,2323623
2,1295,2325183
0,1559,2326478
1,1296,2328037
0,2230,2329333
4,1295,2331563
0,2391,2332858
3,1306,2335249
0,1585,2336555
5,1302,2338140
0,2308,2339442
2,1296,2341750
0,2045,2343046
5,1294,2345091
0,2230,2346385
5,1326,2348615
0,1934,2349941
3,1297,2351875
0,2073,2353172
2,1295,2355245
0,2262,2356540
3,1295,2358802
0,2157,2360097
2,1291,2362254
0,1657,2363545
3,1291,2365202
0,1873,2366493
4,1296,2368366
0,2293,2369662
4,1278,2371955
0,1641,2373233
1,1292,2374874
0,2083,2376166
2,1303,2378249
0,2452,2379552
5,1292,2382004
0,1795,2383296
5,1278,2385091
0,2402,2386369
3,1296,2388771
0,2388,2390067
5,1293,2392455
0,2,2393748
91,120026,2393750
0,8704,2513776
4,1301,2522480
0,2030,2523781
2,1293,2525811
0,2450,2527104
5,1294,2529554
0,2355,2530848
2,1296,2533203
0,2107,2534499
5,1294,2536606
0,2435,2537900
4,1294,2540335
0,1715,2541629
4,1279,2543344
0,1575,2544623
3,1296,2546198
0,2168,2547494
5,1296,2549662
0,2324,2550958
3,1294,2553282
0,2263,2554576
3,1280,2556839
0,2481,2558119
5,1293,2560600
0,2375,2561893
2,1291,2564268
0,1969,2565559
2,1293,2567528
0,2294,2568821
5,1293,2571115
0,2423,2572408
3,1306,2574831
0,2106,2576137
1,1295,2578243
0,2403,2579538
3,1294,2581941
0,1718,2583235
5,1294,2584953
0,2276,2586247
5,1280,2588523
0,1796,2589803
4,1294,2591599
0,2167,2592893
1,1296,2595060
0,1919,2596356
2,1295,2598275
0,2229,2599570
2,1280,2601799
0,2407,2603079
5,1292,2605486
0,1903,2606778
3,1295,2608681
0,2198,2609976
5,1295,2612174
0,2122,2613469
3,1295,2615591
0,1840,2616886
3,1281,2618726
0,2216,2620007
5,1294,2622223
0,2233,2623517
1,1292,2625750
0,2183,2627042
3,1296,2629225
0,1950,2630521
1,1295,2632471
0,2326,2633766
2,1294,2636092
0,1749,2637386
2,1277,2639135
0,1889,2640412
3,1293,2642301
0,2075,2643594
2,1297,2645669
0,1906,2646966
3,1291,2648872
0,2168,2650163
5,1296,2652331
0,2229,2653627
3,1296,2655856
0,2344,2657152
1,1291,2659496
0,1580,2660787
1,1292,2662367
0,1671,2663659
2,1292,2665330
0,1812,2666622
1,1292,2668434
0,2054,2669726
1,1285,2671780
0,1654,2673065
4,1296,2674719
0,2370,2676015
5,1293,2678385
0,2085,2679678
5,1286,2681763
0,2063,2683049
3,1306,2685112
0,1842,2686418
3,1279,2688260
0,2003,2689539
1,1305,2691542
0,2401,2692847
1,1280,2695248
0,1949,2696528
5,1297,2698477
0,1903,2699774
4,1296,2701677
0,2324,2702973
5,1293,2705297
0,2444,2706590
1,1301,2709034
0,1766,2710335
5,1292,2712101
0,2106,2713393
3,1295,2715499
0,2121,2716794
5,1293,2718915
0,2048,2720208
2,1293,2722256
0,1967,2723549
3,1294,2725516
0,2479,2726810
4,1296,2729289
0,2208,2730585
4,1288,2732793
0,1855,2734081
3,1296,2735936
0,2061,2737232
1,1293,2739293
0,2075,2740586
4,1294,2742661
0,1934,2743955
5,1295,2745889
0,2252,2747184
2,1306,2749436
0,1966,2750742
2,1278,2752708
0,2277,2753986
4,1297,2756263
0,1935,2757560
4,1278,2759495
0,2449,2760773
4,1280,2763222
0,2215,2764502
1,1294,2766717
0,1903,2768011
3,1296,2769914
0,1967,2771210
1,1293,2773177
0,1736,2774470
5,1291,2776206
0,1529,2777497
5,1279,2779026
0,1590,2780305
4,1296,2781895
0,2011,2783191
2,1295,2785202
0,2075,2786497
1,1297,2788572
0,2184,2789869
3,1294,2792053
0,1559,2793347
1,1296,2794906
0,1659,2796202
1,1289,2797861
0,1950,2799150
5,1296,2801100
0,2123,2802396
3,1293,2804519
0,2376,2805812
1,1306,2808188
0,2420,2809494
1,1278,2811914
0,2029,2813192
1,1278,2815221
0,2074,2816499
1,1279,2818573
0,2278,2819852
5,1295,2822130
0,2421,2823425
5,1293,2825846
0,2012,2827139
2,1295,2829151
0,1609,2830446
3,1293,2832055
0,2089,2833348
4,1296,2835437
0,1593,2836733
4,1278,2838326
0,2030,2839604
1,1293,2841634
0,2448,2842927
3,1296,2845375
0,1950,2846671
5,1295,2848621
0,2168,2849916
3,1295,2852084
0,2344,2853379
3,1290,2855723
0,2062,2857013
4,1293,2859075
0,1879,2860368
2,1305,2862247
0,2089,2863552
5,1296,2865641
0,1918,2866937
1,1296,2868855
0,1955,2870151
2,1304,2872106
0,1902,2873410
5,1296,2875312
0,1920,2876608
2,1295,2878528
0,1872,2879823
1,1295,2881695
0,1765,2882990
1,1276,2884755
0,1940,2886031
2,1305,2887971
0,1811,2889276
3,1294,2891087
0,1631,2892381
3,1286,2894012
0,2215,2895298
2,1295,2897513
0,2297,2898808
1,1292,2901105
0,1902,2902397
1,1280,2904299
0,1733,2905579
1,1277,2907312
0,1704,2908589
1,1277,2910293
0,1777,2911570
1,1281,2913347
0,1659,2914628
3,1305,2916287
0,2403,2917592
5,1294,2919995
0,1731,2921289
3,1295,2923020
0,1887,2924315
3,1281,2926202
0,1777,2927483
1,1296,2929260
0,1949,2930556
1,1280,2932505
0,1531,2933785
5,1293,2935316
0,1944,2936609
5,1286,2938553
0,2280,2939839
1,1293,2942119
0,2193,2943412
4,1300,2945605
0,2153,2946905
3,1296,2949058
0,1731,2950354
4,1295,2952085
0,1731,2953380
2,1295,2955111
0,2404,2956406
5,1294,2958810
0,1902,2960104
2,1297,2962006
0,2119,2963303
5,1296,2965422
0,2420,2966718
3,1294,2969138
