Target,Neibour,I,J,Value
10,4,10,9,16.512224
6,1,2,2,16.43547
6,10,2,2,16.434093
6,4,4,5,16.38233
2,2,6,9,16.364628
6,7,9,9,16.31906
7,3,8,8,16.309172
8,5,5,8,16.25445
10,8,3,3,16.243677
3,1,8,8,16.213806
4,4,6,7,16.198542
7,5,6,6,16.129797
8,7,8,9,16.120481
6,4,4,6,16.114271
3,8,2,5,16.104631
5,8,8,2,16.080688
5,8,6,5,16.032005
5,8,8,3,15.967573
1,7,9,9,15.908632
3,4,4,3,15.868303
5,4,4,10,15.852103
3,8,8,9,15.840056
3,3,5,4,15.795046
8,7,1,7,15.705588
3,5,5,2,15.69338
5,7,5,5,15.683645
7,5,8,1,15.652486
6,7,8,2,15.640614
3,1,2,2,15.63821
5,1,2,2,15.631262
7,2,4,4,15.6310005
6,10,10,1,15.576629
10,7,7,10,15.520691
3,8,6,5,15.518566
8,8,5,3,15.489768
1,4,5,3,15.434388
8,5,4,4,15.433158
2,8,3,3,15.386694
4,10,10,4,15.375549
4,8,3,3,15.3730135
3,8,8,3,15.335705
3,2,2,9,15.314111
8,8,10,6,15.300365
4,7,7,6,15.282452
5,3,8,8,15.2758
6,7,3,3,15.225443
3,3,5,8,15.178568
8,7,3,3,15.141838
3,3,8,4,15.095287
2,8,8,9,15.077868
5,5,9,8,15.056186
5,4,4,5,15.052654
7,2,5,5,14.992638
10,2,4,4,14.963559
1,1,3,8,14.957049
10,3,8,8,14.930688
8,1,1,9,14.923338
2,7,1,7,14.8819475
