Target,Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
2,1,1,-1,0,-1,0,80
4,0,0,1,1,1,1,80
1,1,0,1,1,3,1,79
5,0,1,0,0,-4,1,79
6,-2,0,1,1,1,1,78
7,-1,1,1,1,1,1,78
5,0,0,-3,0,-3,0,76
2,2,0,-2,1,-2,1,76
3,0,0,-1,1,-1,1,75
3,0,1,-1,0,-1,0,75
10,2,1,1,0,1,0,75
5,-1,1,-1,0,-1,0,75
4,-1,0,1,1,2,1,74
1,3,1,-1,0,-1,0,74
7,0,1,1,1,1,1,73
10,3,0,-2,1,-2,1,73
4,-2,0,0,0,3,0,73
6,0,1,0,0,-3,1,73
5,-2,1,2,0,2,0,73
8,0,1,1,1,1,1,72
1,2,0,1,1,1,1,72
7,-2,1,2,1,2,1,72
3,0,0,1,0,1,0,71
7,1,0,-1,1,-1,1,71
10,3,0,0,1,-2,1,71
3,1,0,0,1,0,1,70
3,0,1,2,1,-1,0,70
1,0,1,4,0,4,0,70
1,4,0,-4,0,-4,0,70
2,3,0,-2,1,-4,0,70
6,-3,1,3,1,3,1,70
4,-2,0,1,1,3,1,70
5,0,1,-1,0,-2,0,69
6,0,0,-2,1,-1,1,69
2,1,0,0,0,1,0,69
7,1,0,-2,0,-2,0,69
1,4,1,-1,1,-1,1,69
8,1,0,-3,0,-3,0,68
10,4,0,-4,1,-4,1,68
5,-3,1,0,0,0,0,68
10,4,0,0,1,0,1,67
4,-2,0,1,0,1,0,67
3,-1,0,3,1,3,1,67
6,-2,0,1,0,1,0,66
8,-2,0,3,0,3,0,66
3,1,0,0,0,-2,0,66
10,0,0,1,0,1,0,65
10,3,1,-3,1,0,1,65
5,-4,1,0,0,3,0,65
8,2,1,-2,0,-2,0,64
4,1,1,0,1,0,1,64
10,3,0,1,0,1,0,63
6,-1,0,0,1,0,1,62
4,1,1,-4,1,-4,1,62
8,1,1,-3,1,-3,1,62
6,0,0,-2,0,-2,0,62
3,2,1,-1,1,-1,1,61
8,-1,1,1,0,1,0,61
3,2,0,-2,0,-2,0,61
2,0,0,-1,1,-1,1,60
5,-3,0,0,0,1,0,60
10,0,0,3,1,3,1,59
8,-1,0,0,0,0,0,59
9,2,0,-2,1,-2,1,59
2,-1,1,4,0,4,0,59
1,4,1,-2,0,-2,0,59
2,0,1,0,0,0,0,59
5,-2,0,-2,1,-2,1,59
2,2,0,-3,1,0,1,59
8,1,0,1,0,1,0,59
1,2,1,-1,1,-1,1,59
6,0,0,0,0,-2,0,58
4,1,0,-2,1,-2,1,58
3,0,1,1,1,1,1,58
6,-1,0,-2,1,-2,1,58
4,1,1,-1,1,-1,1,58
10,4,0,-1,1,-1,1,57
