Value,First Occurrence Position
0,"(1397170, 0)"
3,"(1399292, 0)"
0,"(1400586, 0)"
5,"(1402150, 0)"
0,"(1403457, 0)"
4,"(1405698, 0)"
0,"(1406998, 0)"
5,"(1408574, 0)"
0,"(1409867, 0)"
5,"(1412316, 0)"
0,"(1413598, 0)"
4,"(1415969, 0)"
0,"(1417263, 0)"
1,"(1419290, 0)"
0,"(1420602, 0)"
1,"(1422510, 0)"
0,"(1423799, 0)"
5,"(1425344, 0)"
0,"(1426641, 0)"
2,"(1428450, 0)"
0,"(1429744, 0)"
3,"(1431587, 0)"
0,"(1432880, 0)"
1,"(1435041, 0)"
0,"(1436343, 0)"
3,"(1438698, 0)"
0,"(1439993, 0)"
2,"(1442359, 0)"
0,"(1443660, 0)"
1,"(1445609, 0)"
0,"(1446905, 0)"
4,"(1448592, 0)"
0,"(1449884, 0)"
5,"(1451724, 0)"
0,"(1453020, 0)"
5,"(1454652, 0)"
0,"(1455938, 0)"
4,"(1457984, 0)"
0,"(1459276, 0)"
2,"(1461788, 0)"
0,"(1463082, 0)"
3,"(1465004, 0)"
0,"(1466297, 0)"
5,"(1468573, 0)"
0,"(1469870, 0)"
1,"(1471476, 0)"
0,"(1472771, 0)"
1,"(1474643, 0)"
0,"(1475922, 0)"
2,"(1477953, 0)"
0,"(1479245, 0)"
2,"(1480934, 0)"
0,"(1482209, 0)"
4,"(1484627, 0)"
0,"(1485923, 0)"
5,"(1487906, 0)"
0,"(1489200, 0)"
3,"(1494350, 0)"
0,"(1495641, 0)"
3,"(1497328, 0)"
0,"(1498606, 0)"
1,"(1500414, 0)"
0,"(1501710, 0)"
5,"(1503426, 0)"
0,"(1504722, 0)"
2,"(1506303, 0)"
0,"(1507607, 0)"
3,"(1509168, 0)"
0,"(1510462, 0)"
5,"(1511994, 0)"
0,"(1513288, 0)"
1,"(1514991, 0)"
0,"(1516297, 0)"
3,"(1518107, 0)"
0,"(1519402, 0)"
5,"(1521009, 0)"
0,"(1522304, 0)"
2,"(1524146, 0)"
0,"(1525439, 0)"
2,"(1527015, 0)"
0,"(1528294, 0)"
3,"(1529854, 0)"
0,"(1531150, 0)"
4,"(1533423, 0)"
0,"(1534722, 0)"
1,"(1536313, 0)"
0,"(1537608, 0)"
5,"(1539887, 0)"
0,"(1541181, 0)"
1,"(1543223, 0)"
0,"(1544520, 0)"
2,"(1546858, 0)"
0,"(1548154, 0)"
4,"(1549948, 0)"
0,"(1551242, 0)"
1,"(1552765, 0)"
0,"(1554067, 0)"
4,"(1556235, 0)"
0,"(1557530, 0)"
4,"(1559568, 0)"
0,"(1560853, 0)"
4,"(1563068, 0)"
0,"(1564349, 0)"
4,"(1566145, 0)"
0,"(1567436, 0)"
2,"(1569497, 0)"
0,"(1570790, 0)"
4,"(1572366, 0)"
0,"(1573661, 0)"
4,"(1575501, 0)"
0,"(1576781, 0)"
1,"(1579033, 0)"
0,"(1580339, 0)"
3,"(1581976, 0)"
0,"(1583271, 0)"
5,"(1585269, 0)"
0,"(1586563, 0)"
4,"(1588875, 0)"
0,"(1590182, 0)"
1,"(1591747, 0)"
0,"(1593054, 0)"
4,"(1594654, 0)"
0,"(1595955, 0)"
4,"(1598409, 0)"
0,"(1599699, 0)"
4,"(1601336, 0)"
0,"(1602617, 0)"
1,"(1604240, 0)"
