Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
3,1,-4,0,-4,0,53
2,1,0,1,-2,1,53
-3,1,2,1,2,1,52
0,1,-3,1,0,1,51
-2,0,4,0,4,0,51
0,1,-2,1,-4,0,51
1,0,0,0,0,1,50
-4,1,3,1,3,1,50
0,0,-1,0,-3,0,50
-4,0,2,0,2,0,50
2,0,2,0,2,0,49
4,1,-1,0,-2,0,49
1,1,0,0,3,0,48
0,0,0,1,3,1,48
1,0,2,1,2,1,48
3,0,0,0,1,0,48
1,1,3,0,3,0,48
-1,0,0,0,-1,1,48
2,0,0,0,0,1,48
0,1,-1,1,-4,0,47
2,1,0,1,-4,0,47
0,1,-2,1,-2,0,47
0,0,-2,0,-2,1,47
-1,1,0,0,0,1,46
2,1,0,0,2,0,46
-1,1,3,1,3,1,45
2,1,-1,0,-2,1,45
-1,0,0,0,3,0,45
0,1,0,1,-2,1,45
0,0,-1,0,-4,0,44
4,0,0,0,-3,1,44
3,1,0,0,1,0,44
2,1,0,0,1,0,44
-1,1,-2,1,-2,0,44
3,1,0,0,-3,1,43
-1,0,0,0,-2,1,43
2,1,0,0,-2,1,43
4,0,0,0,-4,1,42
-4,1,0,1,0,1,42
-3,1,-1,1,-1,1,42
2,0,-2,1,-2,0,42
-4,0,0,1,0,1,41
2,0,0,1,-4,0,41
-4,0,2,1,2,1,41
-1,1,1,1,2,1,41
2,0,0,0,-3,1,40
0,0,2,1,-2,1,40
-2,0,0,0,-2,1,40
1,0,0,0,-3,0,40
-2,1,0,0,0,1,40
-3,1,0,0,0,1,40
-1,0,0,0,0,1,39
4,1,-2,1,-4,0,39
2,1,0,0,-3,0,39
2,0,-1,1,-4,0,38
3,1,0,0,-4,1,38
2,1,0,0,-1,1,38
3,1,-4,1,-4,1,38
-1,0,-1,1,2,1,38
1,1,-1,0,-2,0,38
1,1,-1,0,-2,1,37
1,1,0,0,1,0,37
3,0,1,1,1,1,37
0,0,-2,1,0,0,37
1,1,0,0,2,0,36
-3,0,0,0,4,0,36
0,0,0,1,2,1,36
0,0,3,0,4,0,36
3,1,1,1,1,1,36
2,0,1,1,2,1,35
1,0,-2,1,-2,0,35
-2,1,-2,0,-2,0,35
4,1,0,0,-3,0,34
-4,0,0,0,3,0,34
1,0,0,1,-4,0,34
0,1,0,0,1,1,34
-1,1,0,0,-2,0,34
-4,1,2,1,2,1,34
4,1,0,1,-4,0,33
3,1,0,0,1,1,33
-3,1,0,0,3,1,33
-2,0,1,0,1,1,33
0,1,-1,0,-2,1,33
0,1,0,0,-1,1,33
2,1,0,0,-2,0,33
0,0,2,0,-2,0,33
-1,0,0,0,-2,0,32
0,1,1,1,2,1,32
1,0,-1,1,-4,0,32
-1,0,2,0,2,1,32
1,0,-3,0,-2,1,31
3,1,-3,0,-2,1,31
2,1,0,0,-3,1,31
3,0,-1,1,-1,1,31
2,1,0,0,0,1,31
-3,1,0,0,4,0,31
4,1,-3,1,-3,1,31
4,1,0,0,0,1,31
2,1,-2,1,-4,0,31
0,0,-1,1,3,1,30
0,1,0,0,-2,1,30
-3,0,0,0,3,1,30
-2,0,0,0,-1,1,30
4,1,-1,1,-4,0,30
-3,1,1,1,3,1,30
1,0,0,0,1,1,30
0,0,3,1,0,1,29
1,0,1,1,2,1,29
0,0,-1,0,0,0,29
3,0,0,0,1,1,29
-1,0,4,0,4,0,29
2,0,-3,0,-2,1,28
4,0,-3,1,-3,1,28
2,1,-1,1,2,1,28
1,1,1,1,3,1,28
-4,1,3,0,3,0,27
1,1,0,0,-2,1,27
-1,1,1,1,3,1,27
3,1,0,0,-1,0,26
0,1,2,0,2,1,26
-2,1,1,0,1,1,26
1,1,2,1,-1,0,26
1,1,0,0,-3,1,26
2,1,2,0,2,1,25
3,0,-3,0,-2,1,25
-4,1,0,0,0,1,25
-2,0,0,0,-1,0,25
4,0,-1,1,-4,0,25
4,0,-1,0,-2,0,24
-2,0,2,0,2,1,24
-2,1,0,0,-2,1,24
0,0,4,1,4,1,24
4,1,-3,0,-3,0,24
-2,0,-1,1,2,1,24
1,1,0,1,-4,0,24
1,0,3,1,3,1,23
1,1,-1,1,-4,0,23
-1,1,0,0,-1,0,23
0,0,0,1,1,0,23
-2,1,-2,1,-2,0,23
0,0,2,0,3,1,23
4,0,0,1,-4,0,23
0,1,-3,0,-2,1,22
0,0,-3,0,-2,0,22
0,0,-1,1,-2,0,22
1,1,0,0,-1,1,22
4,0,0,0,0,1,22
2,0,0,0,-1,0,22
-3,1,0,0,1,0,22
-1,1,1,0,1,1,22
1,1,0,0,-3,0,22
-3,0,-1,1,-1,1,22
1,0,-3,1,0,0,22
2,0,0,0,1,1,21
-2,0,-2,0,-2,0,21
-2,1,0,0,-1,1,21
2,1,-3,1,0,0,21
-2,1,2,1,-1,0,21
0,1,0,0,4,0,21
0,1,0,0,3,1,21
-1,0,1,1,3,1,21
-3,1,0,0,2,0,21
0,1,-4,1,-1,0,21
1,1,1,0,1,1,20
-3,0,2,0,2,1,20
2,0,-4,1,-1,0,20
1,0,1,0,-1,0,20
-1,1,0,0,1,1,20
3,1,1,0,-1,0,20
3,0,-1,0,-2,1,20
1,0,0,0,-2,1,19
-1,1,0,0,-3,1,19
1,0,0,0,3,0,19
-2,1,1,1,2,1,19
-3,0,0,0,2,0,19
-2,1,0,0,-1,0,19
4,0,-3,0,-3,0,19
1,0,-2,1,1,1,19
